시간,월,화,수,목,금,
9000915,,,,,,
9150930,,,,,,
9300945,83,,,,,
9451000,83,,,,,
10001015,83,8,,,,
10151030,83,8,,,,
10301045,83,8,,,,
10451100,83,8,,,,
11001115,83,8,,x,,
11151130,83,8,,x,,
11301145,83,8,,x,,
11451200,83,8,,x,,
12001215,83,8,,x,,
12151230,,8,,x,,
12301245,,8,,x,,
12451300,,,,,,
13001315,83,,,,,
13151330,83,,,,,
13301345,83,,,,,
13451400,83,,,,,
14001415,83,83,x,16,,
14151430,83,83,x,16,,
14301445,83,83,x,16,,
14451500,83,83,x,16,,
15001515,83,83,x,16,,
15151530,83,83,x,16,,
15301545,83,83,x,16,,
15451600,,83,x,16,,
16001615,,83,,16,,x
16151630,,83,,16,,x
16301645,,83,,16,,x
16451700,,,,,,x
17001715,,,,,,x
17151730,,,,,,x
17301745,,,,,,x
17451800,,,,,,x
